sample-T,sample-t,index,I,U,T,Capacity,SOC
4937.334141,60.24035994,8,0.481225967,3.52198267,27.11410522,-0.006434832,9.94E-01
4938.343704,61.24992233,8,0.481225967,3.525060415,27.14466858,-0.00629988,9.94E-01
4939.346749,62.25296698,8,0.481225967,3.528138161,27.18881416,-0.006165799,9.94E-01
4940.347889,63.25410723,8,0.481225967,3.530600309,27.11410522,-0.006031973,9.94E-01
4941.354851,64.26106884,8,0.481225967,3.533370256,27.08354187,-0.005897368,9.94E-01
4942.362874,65.26909178,8,0.000190588,3.460119724,27.08354187,-0.005897315,9.94E-01
4943.367946,66.27416401,8,0.000190588,3.459196329,27.00882912,-0.005897262,9.94E-01
4944.376,67.28221891,8,0.000190588,3.458888531,27.26351357,-0.005897208,9.94E-01
4945.376162,68.28238021,8,2.76E-06,3.458888531,27.11410522,-0.005897208,9.94E-01
4946.383103,69.28932103,8,0.000190588,3.459196329,27.08354187,-0.005897154,9.94E-01
4947.389159,70.2953776,8,0.000190588,3.459504128,27.11410522,-0.005897101,9.94E-01
4948.390284,71.29650206,8,0.000190588,3.459504128,27.00882912,-0.005897048,9.94E-01
4949.392296,72.29851425,8,0.000378419,3.459811926,27.08354187,-0.005896943,9.94E-01
4950.39235,73.29856814,8,0.000378419,3.459811926,27.11410522,-0.005896838,9.94E-01
4951.395413,74.30163088,8,0.000190588,3.459811926,27.08354187,-0.005896785,9.94E-01
4952.395415,75.30163281,8,0.000378419,3.460427523,27.14466858,-0.005896679,9.94E-01
4953.396491,76.30270954,8,0.000190588,3.460119724,27.11410522,-0.005896626,9.94E-01
4954.405659,77.31187735,8,0.000378419,3.460735321,27.11410522,-0.00589652,9.94E-01
4955.408553,78.31477071,8,0.000190588,3.460735321,27.14466858,-0.005896467,9.94E-01
4956.412606,79.31882395,8,0.000190588,3.460427523,27.03939247,-0.005896414,9.94E-01
4957.413663,80.31988143,8,0.000190588,3.460735321,27.00882912,-0.005896361,9.94E-01
4958.419703,81.32592145,8,-0.480844796,3.384714603,27.03939247,-0.006030736,9.94E-01
4959.425008,82.33122658,8,-0.480656952,3.38132906,26.99524498,-0.00616496,9.94E-01
4960.427806,83.33402369,8,-0.480656952,3.379174709,27.11410522,-0.006298849,9.94E-01
4961.430876,84.33709413,8,-0.480844796,3.377020121,27.06995964,-0.006432827,9.94E-01
4962.434008,85.34022616,8,-0.480844796,3.375173569,27.11410522,-0.006566814,9.94E-01
4963.443959,86.35017737,8,-0.480656952,3.373327017,27.14466858,-0.006701658,9.94E-01
4964.447004,87.35322163,8,-0.480656952,3.371788025,27.06995964,-0.006835581,9.93E-01
4965.453104,88.35932209,8,-0.480844796,3.369941473,27.1005249,-0.006969963,9.93E-01
4966.462108,89.36832629,8,-0.480656952,3.368402481,27.14466858,-0.007104681,9.93E-01
4967.471546,90.37776396,8,-0.480844796,3.367171526,26.93411064,-0.00723951,9.93E-01
4968.479177,91.38539463,8,-0.480844796,3.365324736,27.06995964,-0.007374097,9.93E-01
4969.487255,92.39347339,8,-0.480656952,3.364093542,27.14466858,-0.007508692,9.93E-01
4970.494603,93.40082112,8,-0.480656952,3.362554789,26.99524498,-0.007643188,9.93E-01
4971.503336,94.40955393,8,-0.480656952,3.361323595,27.14466858,-0.00777787,9.92E-01
4972.504406,95.41062373,8,-0.480844796,3.36009264,26.9205265,-0.007911581,9.92E-01
4973.513462,96.41968068,8,-0.480844796,3.358861446,27.02581406,-0.008046359,9.92E-01
4974.513551,97.4197696,8,-0.480844796,3.357630253,27.14466858,-0.008179939,9.92E-01
4975.51512,98.42133831,8,-0.480844796,3.355783701,27.14466858,-0.008313716,9.92E-01
4976.524603,99.43082141,8,-0.480656952,3.355168104,27.1005249,-0.008448498,9.92E-01
4977.526664,100.4328825,8,-0.480656952,3.353937149,27.06995964,-0.008582289,9.92E-01
4978.534617,101.440835,8,-0.480844796,3.352705956,27.06995964,-0.008716919,9.92E-01
4979.543724,102.449942,8,-0.480656952,3.351474762,27.02581406,-0.008851651,9.91E-01
